Date,close
2005-01-03,288.28216552734375
2005-01-04,289.6783447265625
2005-01-05,288.55242919921875
2005-01-06,288.597412109375
2005-01-07,292.020263671875
2005-01-10,292.1103210449219
2005-01-11,291.8401184082031
2005-01-12,290.3088073730469
2005-01-13,289.7684020996094
2005-01-14,288.9127502441406
2005-01-17,290.5340270996094
2005-01-18,289.63330078125
2005-01-19,290.44403076171875
2005-01-20,290.3989562988281
2005-01-24,292.3805847167969
2005-01-25,296.7942199707031
2005-01-27,296.11871337890625
2005-01-28,296.16363525390625
2005-01-31,298.5956115722656
2005-02-01,299.22625732421875
2005-02-02,297.6048583984375
2005-02-03,297.7399597167969
2005-02-04,299.0460510253906
2005-02-07,301.65814208984375
2005-02-08,301.65814208984375
2005-02-09,301.65814208984375
2005-02-10,299.9468078613281
2005-02-11,299.90179443359375
2005-02-14,302.919189453125
2005-02-15,303.8199462890625
2005-02-16,306.4771423339844
2005-02-17,305.53143310546875
2005-02-18,309.3596496582031
2005-02-21,305.9367370605469
2005-02-22,302.3788757324219
2005-02-23,302.8292236328125
2005-02-24,315.5296630859375
2005-02-25,308.5939636230469
2005-02-28,317.24102783203125
2005-03-01,309.0893249511719
2005-03-02,312.2868957519531
2005-03-03,320.3035583496094
2005-03-04,318.27685546875
2005-03-07,320.2134704589844
2005-03-08,321.6546630859375
2005-03-09,322.6454772949219
2005-03-10,337.5976867675781
2005-03-11,336.3818054199219
2005-03-14,333.54443359375
2005-03-15,322.19512939453125
2005-03-16,319.62799072265625
2005-03-17,341.065673828125
2005-03-18,323.8614501953125
2005-03-21,327.7346496582031
2005-03-22,324.0416259765625
2005-03-23,321.4745178222656
2005-03-24,305.12603759765625
2005-03-28,305.756591796875
2005-03-29,304.225341796875
2005-03-30,307.60308837890625
2005-03-31,314.5387268066406
2005-04-01,309.58477783203125
2005-04-04,311.1159973144531
2005-04-05,310.7557067871094
2005-04-06,311.07098388671875
2005-04-07,310.8007507324219
2005-04-08,314.35858154296875
2005-04-11,312.1068420410156
2005-04-12,306.43212890625
2005-04-13,308.0084533691406
2005-04-15,301.4329833984375
2005-04-18,301.1627502441406
2005-04-19,314.62884521484375
2005-04-20,317.4211730957031
2005-04-21,315.25933837890625
2005-04-22,314.35858154296875
2005-04-25,316.83563232421875
2005-04-26,308.053466796875
2005-04-27,312.9175109863281
2005-04-28,309.8549499511719
2005-04-29,301.7483215332031
2005-05-02,300.892578125
2005-05-03,306.4771423339844
2005-05-04,301.7483215332031
2005-05-05,304.0000915527344
2005-05-06,296.7041015625
2005-05-09,298.7758483886719
2005-05-10,296.0285949707031
2005-05-11,297.9651794433594
2005-05-12,310.7557067871094
2005-05-13,337.3275451660156
2005-05-16,328.59033203125
2005-05-17,325.2576599121094
2005-05-18,322.46533203125
2005-05-19,325.3477478027344
2005-05-20,319.62799072265625
2005-05-23,323.8164978027344
2005-05-24,324.26678466796875
2005-05-25,315.25933837890625
2005-05-26,328.50030517578125
2005-05-27,327.5995788574219
2005-05-30,320.8440246582031
2005-05-31,319.0875549316406
2005-06-01,319.7631530761719
2005-06-02,324.58203125
2005-06-03,321.02410888671875
2005-06-06,323.5462646484375
2005-06-07,318.23193359375
2005-06-08,317.5562438964844
2005-06-09,324.26678466796875
2005-06-10,324.9423522949219
2005-06-13,327.5995788574219
2005-06-14,337.642822265625
2005-06-15,339.08404541015625
2005-06-16,351.0638732910156
2005-06-17,337.9580993652344
2005-06-20,336.3818054199219
2005-06-21,335.1207275390625
2005-06-22,345.5242919921875
2005-06-23,350.1180725097656
2005-06-24,353.3607177734375
2005-06-27,354.3065490722656
2005-06-28,337.8229675292969
2005-06-29,349.98297119140625
2005-06-30,346.8753967285156
2005-07-01,350.1180725097656
2005-07-04,356.0179748535156
2005-07-05,364.93524169921875
2005-07-06,372.6365966796875
2005-07-07,377.7257995605469
2005-07-08,394.6003112792969
2005-07-11,431.1163330078125
2005-07-12,402.4931335449219
2005-07-13,410.3861083984375
2005-07-14,407.8912658691406
2005-07-15,408.20880126953125
2005-07-18,421.6811218261719
2005-07-19,409.7057189941406
2005-07-20,417.87078857421875
2005-07-21,418.5511474609375
2005-07-22,427.6688232421875
2005-07-25,426.44415283203125
2005-07-26,420.6378479003906
2005-07-27,417.099609375
2005-07-28,417.099609375
2005-07-29,411.5655517578125
2005-08-01,409.9325256347656
2005-08-02,408.5716247558594
2005-08-03,408.5262756347656
2005-08-04,410.34075927734375
2005-08-05,408.25408935546875
2005-08-08,408.25408935546875
2005-08-09,415.058349609375
2005-08-10,413.8789367675781
2005-08-11,420.6832580566406
2005-08-12,423.67706298828125
2005-08-16,443.13720703125
2005-08-17,435.607177734375
2005-08-18,428.16790771484375
2005-08-19,423.58636474609375
2005-08-22,408.5262756347656
2005-08-23,406.2128601074219
2005-08-24,406.0313415527344
2005-08-25,402.8106689453125
2005-08-26,400.043701171875
2005-08-29,389.70123291015625
2005-08-30,399.95294189453125
2005-08-31,408.435546875
2005-09-01,409.1160583496094
2005-09-02,404.806640625
2005-09-05,399.0003662109375
2005-09-06,396.1879577636719
2005-09-08,405.98602294921875
2005-09-09,404.0354919433594
2005-09-12,407.16546630859375
2005-09-13,410.15936279296875
2005-09-14,398.9549865722656
2005-09-15,406.8932800292969
2005-09-16,407.5283203125
2005-09-19,406.3943176269531
2005-09-20,402.8106689453125
2005-09-21,413.3799743652344
2005-09-22,405.895263671875
2005-09-23,409.7057189941406
2005-09-26,404.76129150390625
2005-09-27,405.94073486328125
2005-09-28,403.8086853027344
2005-09-29,412.38201904296875
2005-09-30,413.7882385253906
2005-10-03,415.6027526855469
2005-10-04,416.1016845703125
2005-10-05,430.2091064453125
2005-10-06,438.8731689453125
2005-10-07,430.4813537597656
2005-10-10,428.8028869628906
2005-10-11,426.44415283203125
