Date,close
2015-12-23,1250.2967529296875
2015-12-24,1378.837646484375
2015-12-28,1328.7515869140625
2015-12-29,1326.1724853515625
2015-12-30,1319.5667724609375
2015-12-31,1343.9991455078125
2016-01-01,1360.151611328125
2016-01-04,1384.6290283203125
2016-01-05,1418.607666015625
2016-01-06,1381.7786865234375
2016-01-07,1327.8013916015625
2016-01-08,1336.71435546875
2016-01-11,1335.3575439453125
2016-01-12,1334.0904541015625
2016-01-13,1281.1087646484375
2016-01-14,1299.2518310546875
2016-01-15,1295.4967041015625
2016-01-18,1216.72509765625
2016-01-19,1203.8758544921875
2016-01-20,1196.9984130859375
2016-01-21,1238.442626953125
2016-01-22,1236.81396484375
2016-01-25,1227.8101806640625
2016-01-27,1212.1102294921875
2016-01-28,1221.7017822265625
2016-01-29,1229.5745849609375
2016-02-01,1242.83154296875
2016-02-02,1242.15283203125
2016-02-03,1242.69580078125
2016-02-04,1219.349609375
2016-02-05,1210.7979736328125
2016-02-08,1197.4959716796875
2016-02-09,1211.114990234375
2016-02-10,1195.2794189453125
2016-02-11,1154.4683837890625
2016-02-12,1194.23876953125
2016-02-15,1189.8948974609375
2016-02-16,1185.0535888671875
2016-02-17,1192.564453125
2016-02-18,1184.1488037109375
2016-02-19,1185.732666015625
2016-02-22,1159.7166748046875
2016-02-23,1185.4156494140625
2016-02-24,1157.4544677734375
2016-02-25,1151.165283203125
2016-02-26,1157.861572265625
2016-02-29,1144.3787841796875
2016-03-01,1190.121337890625
2016-03-02,1177.3619384765625
2016-03-03,1182.8367919921875
2016-03-04,1186.59228515625
2016-03-08,1214.9156494140625
2016-03-09,1217.7657470703125
2016-03-10,1219.9830322265625
2016-03-11,1237.1761474609375
2016-03-14,1225.2314453125
2016-03-15,1227.222412109375
2016-03-16,1227.26708984375
2016-03-17,1222.381103515625
2016-03-18,1253.1876220703125
2016-03-21,1230.720703125
2016-03-22,1241.8402099609375
2016-03-23,1235.7332763671875
2016-03-28,1264.4442138671875
